picture_name,points_id,x,y,z
1,0,0.4869154691696167,0.32538169622421265,-0.04276634380221367
1,1,0.4857596158981323,0.3229218125343323,-0.05933583527803421
1,2,0.48512357473373413,0.3239121437072754,-0.05929635092616081
1,3,0.4844459891319275,0.3249928951263428,-0.059266991913318634
1,4,0.48817703127861023,0.32357633113861084,-0.05403633415699005
1,5,0.48931261897087097,0.3249592185020447,-0.05403202027082443
1,6,0.49060770869255066,0.32637637853622437,-0.05400333181023598
1,7,0.4850151240825653,0.3370010256767273,-0.10502708703279495
1,8,0.4936479330062866,0.3368903398513794,-0.08243150264024734
1,9,0.48653337359428406,0.3351128101348877,-0.055044546723365784
1,10,0.4895787537097931,0.3357764482498169,-0.04874350503087044
1,11,0.4660349488258362,0.3991759419441223,-0.14255031943321228
1,12,0.5202401280403137,0.39378219842910767,-0.06878873705863953
1,13,0.4267798960208893,0.3090530037879944,-0.18499451875686646
1,14,0.5203355550765991,0.30922356247901917,-0.07243245095014572
1,15,0.40902015566825867,0.18724659085273743,-0.22519145905971527
1,16,0.49932119250297546,0.20705315470695496,-0.10602907836437225
1,17,0.40426185727119446,0.16474255919456482,-0.25818273425102234
1,18,0.4978126287460327,0.18608808517456055,-0.12562215328216553
1,19,0.4062744379043579,0.16545146703720093,-0.2512451112270355
1,20,0.49150925874710083,0.18217694759368896,-0.13702647387981415
1,21,0.411346435546875,0.1747622787952423,-0.22575156390666962
1,22,0.49069270491600037,0.18993347883224487,-0.11336605995893478
1,23,0.4755500257015228,0.6175376176834106,-0.02756953239440918
1,24,0.5032364726066589,0.6047821044921875,0.027380483224987984
1,25,0.46519389748573303,0.746286928653717,0.014854570850729942
1,26,0.4997187554836273,0.7847247123718262,0.07217472046613693
1,27,0.4755343198776245,0.9346784353256226,0.09208181500434875
1,28,0.5017154216766357,0.9392775893211365,0.14220650494098663
1,29,0.47883182764053345,0.9485031962394714,0.09813909977674484
1,30,0.5020602345466614,0.958214521408081,0.14667947590351105
1,31,0.4709649085998535,0.9412655234336853,0.05865863710641861
1,32,0.49941614270210266,0.9482030868530273,0.09584682434797287
2,0,0.4890386462211609,0.32685983180999756,-0.04289454221725464
2,1,0.4878135025501251,0.32310059666633606,-0.05819491297006607
2,2,0.48710304498672485,0.32412466406822205,-0.05817795544862747
2,3,0.48634710907936096,0.32522517442703247,-0.05817165598273277
2,4,0.4900834262371063,0.32370948791503906,-0.05398159474134445
2,5,0.4910092353820801,0.32508429884910583,-0.05398143082857132
2,6,0.4919877350330353,0.32648271322250366,-0.05394643917679787
2,7,0.48659002780914307,0.3374568223953247,-0.08872541040182114
2,8,0.49427586793899536,0.337790310382843,-0.0781627669930458
2,9,0.48818784952163696,0.3385094702243805,-0.05274571105837822
2,10,0.49063894152641296,0.33905816078186035,-0.04847389832139015
2,11,0.46604016423225403,0.39874663949012756,-0.12032005935907364
